Timestamp;PacketTransmit;PacketReceive;PacketLossCount;PacketLossRate;RTTMin;RTTAvg;RTTMax;RTTMdev
2024-05-11 00:13:48;10;10;0;0.0;43.472;52.762;79.586;11.123
2024-05-11 00:13:58;10;10;0;0.0;41.679;51.667;73.643;10.686
2024-05-11 00:14:08;10;10;0;0.0;60.389;71.612;89.7;8.889
2024-05-11 00:14:18;10;10;0;0.0;33.018;51.835;101.865;20.327
2024-05-11 00:14:30;10;10;0;0.0;31.602;38.067;44.212;4.235
2024-05-11 00:14:41;10;10;0;0.0;42.224;49.651;62.691;5.995
2024-05-11 00:14:51;10;10;0;0.0;44.677;53.353;76.878;11.345
2024-05-11 00:15:01;10;10;0;0.0;35.835;71.829;122.932;27.68
2024-05-11 00:15:12;10;9;1;10.0;39.809;87.685;99.18;17.277
2024-05-11 00:15:22;10;10;0;0.0;39.691;88.155;108.054;23.402
2024-05-11 00:15:32;10;10;0;0.0;31.373;60.525;105.939;30.116
2024-05-11 00:15:42;10;10;0;0.0;27.757;36.892;72.884;12.564
2024-05-11 00:15:52;10;10;0;0.0;36.885;45.426;59.708;6.332
2024-05-11 00:16:02;10;10;0;0.0;43.052;54.766;92.444;13.409
2024-05-11 00:16:13;10;10;0;0.0;38.161;50.677;100.984;18.433
2024-05-11 00:16:23;10;10;0;0.0;43.563;48.188;59.72;5.199
2024-05-11 00:16:33;10;10;0;0.0;45.222;56.05;69.19;8.08
2024-05-11 00:16:53;10;10;0;0.0;39.376;48.428;68.657;8.206
2024-05-11 00:17:03;10;10;0;0.0;38.204;59.337;205.313;48.749
2024-05-11 00:17:14;10;4;6;60.0;28.99;36.972;45.754;7.744
2024-05-11 00:17:24;10;10;0;0.0;31.59;46.354;59.989;7.981
2024-05-11 00:17:34;10;10;0;0.0;35.552;75.55;128.046;25.384
2024-05-11 00:17:45;10;10;0;0.0;34.799;70.648;103.248;20.548
2024-05-11 00:17:56;10;9;1;10.0;30.553;54.513;124.399;28.006
2024-05-11 00:18:08;10;10;0;0.0;46.718;57.634;77.286;10.546
2024-05-11 00:18:19;10;8;2;20.0;42.378;63.54;123.81;25.105
2024-05-11 00:18:29;10;10;0;0.0;29.403;74.052;174.078;50.866
2024-05-11 00:18:39;10;10;0;0.0;37.022;70.385;94.024;19.123
2024-05-11 00:18:49;10;10;0;0.0;43.596;66.56;131.247;28.992
2024-05-11 00:19:00;10;10;0;0.0;39.922;82.812;156.418;39.971
2024-05-11 00:19:10;10;10;0;0.0;40.984;44.158;47.485;2.306
2024-05-11 00:19:20;10;10;0;0.0;41.982;53.008;79.759;11.836
2024-05-11 00:19:30;10;10;0;0.0;37.054;48.327;62.99;7.328
2024-05-11 00:19:41;10;9;1;10.0;37.426;47.365;57.152;5.837
2024-05-11 00:19:51;10;10;0;0.0;37.113;42.398;52.981;5.48
2024-05-11 00:20:02;10;9;1;10.0;36.926;42.757;50.985;4.543
2024-05-11 00:20:12;10;10;0;0.0;35.978;44.103;61.706;7.454
2024-05-11 00:20:22;10;10;0;0.0;44.355;73.653;110.607;19.887
2024-05-11 00:20:34;10;8;2;20.0;39.895;59.464;84.069;14.068
2024-05-11 00:20:44;10;10;0;0.0;43.931;147.418;826.755;227.002
